# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄅㄨˋㄌㄨㄥˊㄈㄤˉㄉㄢˉ	布隆方丹
ㄅㄨˋㄌㄩˇㄨㄟˊㄐㄧㄢˉ	步履維艱
ㄅㄨˋㄍㄢˇㄍㄡˇㄊㄨㄥˊ	不敢苟同
ㄅㄨˋㄍㄢˇㄍㄨㄥˉㄨㄟ˙	不敢恭維
ㄅㄨˋㄍㄢˉㄅㄨˋㄐㄧㄥˋ	不乾不淨
ㄅㄨˋㄍㄨˋㄑㄧㄢˊㄏㄡˋ	不顧前後
ㄅㄨˋㄍㄨㄢˇㄅㄨˋㄍㄨˋ	不管不顧
ㄅㄨˋㄍㄨㄢˇㄗㄣˇㄧㄤˋ	不管怎樣
ㄅㄨˋㄎㄜˇㄅㄧˋㄇㄧㄢˇ	不可避免
ㄅㄨˋㄎㄜˇㄇㄛˊㄇㄧㄝˋ	不可磨滅
ㄅㄨˋㄎㄜˇㄉㄨㄛˉㄉㄜˊ	不可多得
ㄅㄨˋㄎㄜˇㄉㄨㄢˉㄋㄧˊ	不可端倪
ㄅㄨˋㄎㄜˇㄋㄧˋㄓㄨㄢˇ	不可逆轉
ㄅㄨˋㄎㄜˇㄍㄨˉㄌㄧㄤˋ	不可估量
ㄅㄨˋㄎㄜˇㄎㄞˉㄐㄧㄠˉ	不可開交
ㄅㄨˋㄎㄜˇㄐㄧㄡˋㄧㄠˋ	不可救藥
ㄅㄨˋㄎㄜˇㄑㄧㄣˉㄈㄢˋ	不可侵犯
ㄅㄨˋㄎㄜˇㄑㄩㄝˉㄕㄠˇ	不可缺少
ㄅㄨˋㄎㄜˇㄕㄨㄛˋㄐㄧˊ	不可數集
ㄅㄨˋㄎㄜˇㄨㄢˇㄏㄨㄟˊ	不可挽回
ㄅㄨˋㄎㄢˉㄕㄜˋㄒㄧㄤˇ	不堪設想
ㄅㄨˋㄏㄜˊㄊㄧˇㄊㄨㄥˇ	不合體統
ㄅㄨˋㄏㄨㄤˉㄅㄨˋㄇㄤˊ	不慌不忙
ㄅㄨˋㄐㄧㄚˇㄙˉㄙㄨㄛˇ	不假思索
ㄅㄨˋㄐㄧㄚˉㄌㄧˇㄘㄞˇ	不加理睬
ㄅㄨˋㄐㄧㄚˉㄐㄩˉㄕㄨˋ	不加拘束
ㄅㄨˋㄐㄧㄚˉㄒㄧㄡˉㄕˋ	不加修飾
ㄅㄨˋㄐㄧㄚˉㄙˉㄙㄨㄛˇ	不加思索
ㄅㄨˋㄐㄧㄡˋㄐㄧˋㄨㄤˇ	不咎既往
ㄅㄨˋㄐㄧㄢˋㄅㄨˋㄙㄢˋ	不見不散
ㄅㄨˋㄐㄧㄢˋㄊㄧㄢˉㄖˋ	不見天日
ㄅㄨˋㄐㄧㄣˇㄅㄨˋㄇㄢˋ	不緊不慢
ㄅㄨˋㄐㄧㄣˋㄇㄚˇㄉㄚˊ	步進馬達
ㄅㄨˋㄐㄧㄥˉㄧˋㄐㄧㄢˉ	不經意間
ㄅㄨˋㄐㄩㄝˊㄖㄨˊㄌㄩˇ	不絕如縷
ㄅㄨˋㄑㄧㄥˊㄓˉㄑㄧㄥˇ	不情之請
ㄅㄨˋㄑㄩㄥˊㄅㄨˋㄌㄚˉ	布瓊布拉
ㄅㄨˋㄒㄧˉㄒㄩㄝˋㄅㄣˇ	不惜血本
ㄅㄨˋㄒㄧㄥˋㄓˉㄒㄧㄥˋ	不幸之幸
ㄅㄨˋㄓˉㄉㄧㄥˉㄉㄨㄥˇ	不知丁董
ㄅㄨˋㄓˉㄐㄧㄣˋㄊㄨㄟˋ	不知進退
ㄅㄨˋㄓˉㄑㄧㄥˉㄓㄨㄥˋ	不知輕重
ㄅㄨˋㄓˉㄙㄨㄛˇㄓㄨㄥˉ	不知所終
ㄅㄨˋㄓˉㄙㄨㄛˇㄗㄨㄥˉ	不知所蹤
ㄅㄨˋㄓˉㄙㄨㄛˇㄘㄨㄛˋ	不知所措
ㄅㄨˋㄓㄤˇㄧㄢˇㄐㄧㄥ˙	不長眼睛
ㄅㄨˋㄓㄨㄛˊㄏㄣˊㄐㄧˋ	不著痕跡
ㄅㄨˋㄔㄥˊㄊㄧˇㄊㄨㄥˇ	不成體統
ㄅㄨˋㄔㄨㄞˇㄇㄠˋㄇㄟˋ	不揣冒昧
ㄅㄨˋㄕˋㄔˉㄙㄨˋㄉㄜ˙	不是吃素的
ㄅㄨˋㄕㄡˋㄏㄨㄢˉㄧㄥˊ	不受歡迎
ㄅㄨˋㄕㄥˉㄅㄨˋㄒㄧㄤˇ	不聲不響
ㄅㄨˋㄕㄥˋㄐㄧㄡˇㄌㄧˋ	不勝酒力
ㄅㄨˋㄕㄨㄛˉㄗˋㄇㄧㄥˊ	不說自明
ㄅㄨˋㄖㄨㄥˊㄓˋㄅㄧㄢˋ	不容置辯
ㄅㄨˋㄗㄜˊㄕㄡˇㄉㄨㄢˋ	不擇手段
ㄅㄨˋㄗㄞˋㄓㄨㄤˋㄊㄞˋ	不在狀態
ㄅㄨˋㄗㄨˊㄨㄟˊㄍㄨㄞˋ	不足為怪
ㄅㄨˋㄗㄨˊㄨㄟˊㄒㄩㄣˋ	不足為訓
ㄅㄨˋㄙㄨㄟˋㄅㄛˉㄌㄧ˙	不碎玻璃
ㄅㄨˋㄙㄨㄥˉㄅㄨˋㄌㄚˉ	布松布拉
ㄅㄨˋㄢˉㄕㄨㄟˇㄒㄧㄥˋ	不諳水性
ㄅㄨˋㄦˇㄐㄧㄣˉㄒㄧㄢˋ	布爾津縣
ㄅㄨˋㄦˇㄕˊㄨㄟˊㄎㄜˋ	布爾什維克
ㄅㄨˋㄧㄡˊㄈㄣˉㄕㄨㄛˉ	不由分說
ㄅㄨˋㄨㄟˋㄑㄧㄤˊㄅㄠˋ	不畏強暴
ㄅㄨˋㄨㄢˊㄑㄩㄢˊㄧㄝˋ	不完全葉
ㄅㄨˋㄨㄣˇㄆㄧㄥˊㄏㄥˊ	不穩平衡
ㄅㄨˋㄨㄣˉㄅㄨˋㄏㄨㄛˇ	不溫不火
ㄅㄨˋㄩˇㄆㄧㄥˊㄌㄨㄣˋ	不予評論
ㄅㄨˋㄩㄢˇㄑㄧㄢˉㄌㄧˇ	不遠千里
ㄅㄨˋㄩㄣˋㄅㄨˋㄏㄨㄛˇ	不慍不火
ㄅㄨㄈㄟㄔㄨㄟㄏㄨㄟㄓㄌㄧ	不費吹灰之力
ㄅㄨㄉㄥㄐㄧㄚㄐㄧㄠㄏㄨㄢ	不等價交換
ㄅㄨㄉㄨㄥㄉㄧㄢㄉㄧㄥㄌㄧ	不動點定理
ㄅㄨㄌㄚㄍㄜㄨㄟㄕㄣㄙㄎㄜ	布拉戈維申斯克
ㄅㄨㄌㄨㄣㄑㄧㄥㄐㄧㄑㄧㄤ	布倫輕機槍
ㄅㄨㄕㄖㄣㄐㄧㄢㄧㄢㄏㄨㄛ	不食人間煙火
ㄅㄨㄕㄩㄙㄐㄧㄡㄕㄨㄤㄆㄛ	不是魚死就是網破
ㄆㄚˊㄒㄧㄥˊㄉㄨㄥˋㄨˋ	爬行動物
ㄆㄚˊㄔㄨㄥˊㄉㄨㄥˋㄨˋ	爬蟲動物
ㄆㄚˊㄕㄢˉㄕㄜˋㄕㄨㄟˇ	爬山涉水
ㄆㄚˋㄊㄜˋㄌㄧˇㄒㄧㄚˋ	帕特里夏
ㄆㄚˋㄊㄜˋㄌㄧˋㄒㄧㄚˋ	帕特麗夏
ㄆㄚˋㄨㄚˇㄌㄨㄛˊㄉㄧˋ	帕瓦羅蒂
ㄆㄚㄙㄎㄚㄙㄢㄐㄧㄠㄒㄧㄥ	帕斯卡三角形
ㄆㄛˉㄈㄨˋㄇㄚˋㄐㄧㄝˉ	潑婦罵街
ㄆㄛˉㄕㄨㄟˇㄋㄢˊㄕㄡˉ	潑水難收
ㄆㄛˊㄌㄨㄛˊㄈㄨˊㄊㄨˊ	婆羅浮屠
ㄆㄛˋㄆㄧㄢˋㄕㄚˉㄕㄤˉ	破片殺傷
ㄆㄛˋㄊㄧˋㄨㄟˊㄒㄧㄠˋ	破涕為笑
ㄆㄛˋㄊㄨˇㄉㄧㄢˇㄌㄧˇ	破土典禮
ㄆㄛˋㄔㄨˊㄇㄧˊㄒㄧㄣˋ	破除迷信
ㄆㄛˋㄗㄞˋㄇㄟˊㄐㄧㄝˊ	迫在眉睫
ㄆㄛˋㄘㄞˊㄇㄧㄢˇㄗㄞˉ	破財免災
ㄆㄛˋㄨㄢˇㄆㄛˋㄕㄨㄞˉ	破碗破摔
ㄆㄛㄨㄧㄡㄗㄠㄌㄧㄢㄧㄝㄩ	破屋又遭連夜雨
ㄆㄞˉㄢˋㄐㄧㄠˋㄐㄩㄝˊ	拍案叫絕
ㄆㄞˊㄋㄢˋㄐㄧㄝˇㄈㄣˉ	排難解紛
ㄆㄞˊㄑㄧˇㄔㄤˊㄉㄨㄟˋ	排起長隊
ㄆㄞˊㄧㄡˉㄐㄧㄝˇㄋㄢˋ	排憂解難
ㄆㄞˋㄘㄨㄟˋㄒㄧˉㄧㄚˋ	派翠西亞
ㄆㄟˋㄐㄧㄥˋㄖㄣˊㄩㄢˊ	配鏡人員
ㄆㄠˇㄇㄚˇㄑㄩㄢˉㄉㄧˋ	跑馬圈地
ㄆㄠˉㄊㄡˊㄌㄨˋㄇㄧㄢˋ	拋頭露面
ㄆㄠˊㄒㄧㄠˋㄖㄨˊㄌㄟˊ	咆哮如雷
ㄆㄠˋㄇㄛˋㄐㄧㄥˉㄐㄧˋ	泡沫經濟
ㄆㄠˋㄇㄛˋㄙㄨˋㄌㄧㄠˋ	泡沫塑料
ㄆㄠˋㄓㄣˇㄅㄧㄥˋㄉㄨˊ	皰疹病毒
ㄆㄡˊㄉㄨㄛˉㄧˋㄍㄨㄚˇ	裒多益寡
ㄆㄢˉㄌㄨㄥˊㄈㄨˋㄈㄥˋ	攀龍附鳳
ㄆㄢˉㄑㄧㄣˉㄉㄠˋㄍㄨˋ	攀親道故
ㄆㄢˊㄋㄧˊㄒㄧˉㄌㄧㄣˊ	盤尼西林
ㄆㄢˊㄌㄨㄥˊㄨㄛˋㄏㄨˇ	盤龍臥虎
ㄆㄢˊㄍㄣˉㄐㄧㄡˉㄉㄧˇ	盤根究底
ㄆㄢˊㄒㄩㄢˊㄑㄩˉㄓㄜˊ	盤旋曲折
ㄆㄢˊㄕㄢˉㄅㄨˋㄑㄧㄢˊ	蹣跚不前
ㄆㄢˊㄨㄟˇㄕㄨˋㄑㄩㄝˋ	盤尾樹鵲
ㄆㄢˋㄖㄨㄛˋㄩㄣˊㄋㄧˊ	判若雲泥
ㄆㄤˊㄇㄣˊㄗㄨㄛˇㄉㄠˋ	旁門左道
ㄆㄤˊㄑㄧㄠˉㄘㄜˋㄐㄧˉ	旁敲側擊
ㄆㄥˇㄈㄨˋㄉㄚˋㄒㄧㄠˋ	捧腹大笑
ㄆㄥˇㄈㄨˋㄐㄩㄝˊㄉㄠˇ	捧腹絕倒
ㄆㄥˇㄉㄠˋㄊㄧㄢˉㄕㄤˋ	捧到天上
ㄆㄥˊㄅㄧˇㄨㄟˊㄐㄧㄢˉ	朋比為奸
ㄆㄥˊㄅㄧˋㄕㄥˉㄏㄨㄟˉ	蓬蓽生輝 蓬篳生輝
ㄆㄥˊㄊㄡˊㄍㄡˋㄇㄧㄢˋ	蓬頭垢面
ㄆㄥˊㄊㄡˊㄒㄧㄢˇㄗㄨˊ	蓬頭跣足
ㄆㄥˊㄏㄨˊㄌㄧㄝˋㄉㄠˇ	澎湖列島
ㄆㄥˊㄏㄨˊㄑㄩㄣˊㄉㄠˇ	澎湖群島
ㄆㄥˊㄕㄡˇㄍㄡˋㄇㄧㄢˋ	蓬首垢面
ㄆㄥˋㄓㄨㄤˋㄗㄠˋㄕㄢˉ	碰撞造山
ㄆㄧˉㄇㄚˊㄉㄞˋㄒㄧㄠˋ	披麻帶孝 披麻戴孝
ㄆㄧˉㄉㄡˋㄉㄚˋㄏㄨㄟˋ	批鬥大會
ㄆㄧˉㄊㄡˊㄍㄞˋㄌㄧㄢˇ	劈頭蓋臉
ㄆㄧˉㄌㄧㄤˋㄍㄡˋㄇㄞˇ	批量購買
ㄆㄧˉㄌㄧㄤˋㄕㄥˉㄔㄢˇ	批量生產
ㄆㄧˉㄎㄨㄥˉㄅㄢˉㄏㄞˋ	劈空扳害
ㄆㄧˉㄐㄧㄥˉㄓㄢˇㄐㄧˊ	披荊斬棘
ㄆㄧˉㄒㄧˋㄉㄠˇㄎㄨㄢˇ	批郤導窾
ㄆㄧˉㄒㄧㄥˉㄉㄞˋㄩㄝˋ	披星戴月 披星帶月
ㄆㄧˉㄓㄨㄣˇㄨㄣˊㄏㄠˋ	批准文號
ㄆㄧˊㄈㄨˊㄌㄡˊㄋㄧㄡˊ	皮弗婁牛
ㄆㄧˊㄒㄧㄚˋㄓㄨˋㄕㄜˋ	皮下注射
ㄆㄧㄘㄥㄒㄧㄥㄕㄙㄨㄣㄕㄤ	皮層性視損傷
ㄆㄧㄝˉㄎㄞˉㄅㄨˋㄊㄢˊ	撇開不談
ㄆㄧㄠˊㄆㄛˉㄦˊㄒㄧㄚˋ	瓢潑而下
ㄆㄧㄢˉㄆㄧㄢˉㄑㄧˇㄨˇ	翩翩起舞
ㄆㄧㄢˉㄓˋㄉㄧㄢˋㄗㄨˇ	偏置電阻
ㄆㄧㄢˉㄔㄚˉㄐㄩˋㄌㄧˊ	偏差距離
ㄆㄧㄣˉㄅㄢˇㄧㄡˊㄒㄧˋ	拼板遊戲
ㄆㄧㄣˉㄅㄢˇㄨㄢˊㄐㄩˋ	拼板玩具
ㄆㄧㄣˉㄊㄨˊㄨㄢˊㄐㄩˋ	拼圖玩具
ㄆㄧㄣˊㄈㄨˋㄔㄚˉㄐㄩˋ	貧富差距
ㄆㄧㄣˊㄌㄩˋㄊㄧㄠˊㄓˋ	頻率調制
ㄆㄧㄣˊㄌㄩˋㄏㄜˊㄔㄥˊ	頻率合成
ㄆㄧㄣˊㄕㄨˋㄈㄣˉㄅㄨˋ	頻數分佈
ㄆㄧㄣˊㄨˊㄌㄧˋㄓㄨㄟˉ	貧無立錐
ㄆㄧㄣㄒㄩㄝㄒㄧㄥㄏㄨㄞㄙ	貧血性壞死
ㄆㄧㄥˊㄅㄢˇㄕㄡˇㄐㄧˉ	平板手機
ㄆㄧㄥˊㄆㄧㄥˊㄨˊㄑㄧˊ	平平無奇
ㄆㄧㄥˊㄉㄥˇㄏㄨˋㄌㄧˋ	平等互利
ㄆㄧㄥˊㄉㄧㄥˇㄕㄢˉㄕˋ	平頂山市
ㄆㄧㄥˊㄍㄨㄛˇㄉㄨˋㄜˊ	蘋果蠹蛾
ㄆㄧㄥˊㄐㄧㄣˉㄓㄢˋㄧˋ	平津戰役
ㄆㄧㄥˊㄐㄩㄣˉㄓㄨˇㄧˋ	平均主義
ㄆㄧㄥˊㄒㄧㄥˊㄩˇㄓㄡˋ	平行宇宙
ㄆㄧㄥˊㄕˋㄐㄧㄝˊㄓㄜˊ	憑軾結轍
ㄆㄧㄥˊㄢˉㄕㄣˊㄍㄨㄥˉ	平安神宮
ㄆㄧㄥˊㄧˋㄐㄧㄣˋㄖㄣˊ	平易近人
ㄆㄧㄥㄇㄨㄅㄠㄏㄨㄔㄥㄒㄩ	屏幕保護程序
ㄆㄧㄥㄈㄤㄆㄧㄥㄐㄩㄣㄕㄨ	平方平均數
ㄆㄧㄥㄒㄧㄥㄙㄅㄧㄢㄒㄧㄥ	平行四邊形
ㄆㄨˇㄉㄨˋㄉㄚˋㄒㄩㄝˊ	普渡大學
ㄆㄨˇㄉㄨˋㄓㄨㄥˋㄕㄥˉ	普度眾生
ㄆㄨˇㄉㄨㄥˉㄐㄧˉㄔㄤˇ	浦東機場
ㄆㄨˇㄊㄧㄢˉㄓˉㄒㄧㄚˋ	普天之下
ㄆㄨˇㄊㄨㄥˉㄇㄧㄥˊㄘˊ	普通名詞
ㄆㄨˇㄊㄨㄥˉㄌㄡˊㄧㄢˋ	普通樓燕
ㄆㄨˇㄊㄨㄥˉㄐㄧㄠˋㄩˋ	普通教育
ㄆㄨˇㄊㄨㄥˉㄧㄝˋㄧㄥˉ	普通夜鷹
ㄆㄨˇㄊㄨㄥˉㄧㄢˋㄏㄥˊ	普通燕鴴
ㄆㄨˇㄊㄨㄥˉㄧㄤˉㄐㄧˉ	普通秧雞
ㄆㄨˇㄌㄢˊㄉㄧㄢˋㄑㄩˉ	普蘭店區
ㄆㄨˇㄌㄧˇㄑㄧㄝˋㄊㄜˋ	普里切特
ㄆㄨˇㄌㄧˋㄘㄜˋㄐㄧㄤˇ	普利策獎
ㄆㄨˇㄌㄧㄣˊㄙˉㄉㄨㄣˋ	普林斯頓
ㄆㄨˇㄌㄨㄛˊㄓㄚˉㄎㄜˋ	普羅扎克
ㄆㄨˇㄐㄧˋㄓㄨㄥˋㄕㄥˉ	普濟眾生
ㄆㄨˇㄒㄧㄢˊㄆㄨˊㄙㄚˋ	普賢菩薩
ㄆㄨˉㄊㄧㄢˉㄍㄞˋㄉㄧˋ	鋪天蓋地
ㄆㄨˉㄕㄨㄛˋㄇㄧˊㄌㄧˊ	撲朔迷離
ㄆㄨˉㄖㄜˋㄒㄧˉㄊㄨㄥˋ	撲熱息痛
ㄆㄨˊㄊㄠˊㄒㄩㄥˉㄧㄚˉ	葡萄胸鴨
ㄆㄨㄅㄧㄢㄒㄧㄥㄐㄧㄚㄕㄜ	普遍性假設
ㄇㄚˇㄅㄨˋㄊㄧㄥˊㄊㄧˊ	馬不停蹄
ㄇㄚˇㄉㄠˋㄔㄥˊㄍㄨㄥˉ	馬到成功
ㄇㄚˇㄉㄡˉㄌㄧㄥˊㄎㄜˉ	馬兜鈴科
ㄇㄚˇㄊㄡˊㄒㄧㄥˉㄩㄣˊ	馬頭星雲
ㄇㄚˇㄊㄧˊㄒㄧㄥˉㄩㄣˊ	馬蹄星雲
ㄇㄚˇㄊㄨㄥˇㄔㄨㄞˉㄗ˙	馬桶搋子
ㄇㄚˇㄋㄧˊㄊㄨㄛˉㄅㄚˉ	馬尼托巴
ㄇㄚˇㄌㄚˉㄉㄨㄛˉㄋㄚˋ	馬拉多納
ㄇㄚˇㄌㄚˉㄙㄨㄥˉㄙㄞˋ	馬拉松賽
ㄇㄚˇㄌㄧㄥˊㄕㄨˇㄋㄧˊ	馬鈴薯泥
ㄇㄚˇㄍㄨㄥˉㄇㄟˊㄙㄨˋ	馬工枚速
ㄇㄚˇㄎㄜˇㄅㄛˉㄌㄨㄛˊ	馬可·波羅
ㄇㄚˇㄎㄜˋㄙˉㄓㄨˇㄧˋ	馬克思主義
ㄇㄚˇㄎㄜˋㄙˉㄨㄟˉㄦˇ	馬克斯威爾
ㄇㄚˇㄗㄨˇㄌㄧㄝˋㄉㄠˇ	馬祖列島
ㄇㄚˇㄨㄟˇㄐㄩㄣˉㄍㄤˇ	馬尾軍港
ㄇㄚˊㄌㄧˋㄆㄛˉㄒㄧㄢˋ	麻栗坡縣
ㄇㄚˋㄅㄨˋㄐㄩㄝˊㄎㄡˇ	罵不絕口
ㄇㄚㄅㄧㄢㄧㄗㄨㄗㄓㄒㄧㄢ	馬邊彝族自治縣
ㄇㄚㄉㄚㄐㄧㄚㄙㄐㄧㄚㄉㄠ	馬達加斯加島
ㄇㄚㄊㄨㄛㄍㄜㄌㄨㄛㄙㄨㄛ	馬托格羅索
ㄇㄚㄌㄧㄡㄐㄧㄚㄏㄞㄒㄧㄚ	馬六甲海峽
ㄇㄚㄌㄧㄧㄚㄋㄚㄑㄩㄣㄉㄠ	馬利亞納群島 馬里亞納群島
ㄇㄚㄏㄚㄌㄚㄕㄊㄜㄌㄚㄅㄤ	馬哈拉施特拉邦
ㄇㄚㄦㄨㄟㄋㄚㄙㄑㄩㄣㄉㄠ	馬爾維納斯群島
ㄇㄚㄨㄟㄕㄨㄟㄕㄒㄩㄝㄊㄤ	馬尾水師學堂
ㄇㄛˉㄅㄨ˙ㄓㄠˊㄅㄧㄢˉ	摸不著邊
ㄇㄛˉㄆㄚˊㄍㄨㄣˇㄉㄚˇ	摸爬滾打
ㄇㄛˊㄆㄛˋㄗㄨㄟˇㄆㄧˊ	磨破嘴皮
ㄇㄛˊㄊㄧㄢˉㄉㄚˋㄌㄡˊ	摩天大樓
ㄇㄛˊㄊㄧㄢˉㄉㄚˋㄕㄚˋ	摩天大廈
ㄇㄛˊㄋㄧˇㄒㄧㄣˋㄏㄠˋ	模擬信號
ㄇㄛˊㄌㄥˊㄌㄧㄤˇㄎㄜˇ	模稜兩可
ㄇㄛˊㄎㄨㄞˋㄉㄢˉㄩㄢˊ	模塊單元
ㄇㄛˊㄏㄨ˙ㄅㄨˋㄑㄧㄥˉ	模糊不清
ㄇㄛˊㄏㄨ˙ㄌㄨㄛˊㄐㄧ˙	模糊邏輯
ㄇㄛˊㄏㄨ˙ㄕㄨˋㄒㄩㄝˊ	模糊數學
ㄇㄛˊㄐㄧㄚˉㄉㄧˊㄕㄚˉ	摩加迪沙
ㄇㄛˊㄑㄩㄢˊㄘㄚˉㄓㄤˇ	摩拳擦掌 磨拳擦掌
ㄇㄛˊㄕㄨˋㄈㄤˉㄎㄨㄞˋ	魔術方塊
ㄇㄛˋㄅㄨˋㄗㄨㄛˋㄕㄥˉ	默不作聲
ㄇㄛˋㄉㄞˋㄏㄨㄤˊㄉㄧˋ	末代皇帝
ㄇㄛˋㄌㄧ˙ㄏㄨㄚˉㄔㄚˊ	茉莉花茶
ㄇㄛˋㄓㄨˊㄍㄨㄥˉㄎㄚˇ	墨竹工卡
ㄇㄛˋㄕㄠˉㄕㄣˊㄐㄧㄥˉ	末梢神經
ㄇㄛˋㄕㄡˇㄔㄥˊㄍㄨㄟˉ	墨守成規
ㄇㄛˋㄙㄨㄛˇㄌㄧˇㄋㄧˊ	墨索里尼
ㄇㄛˋㄦˇㄗˉㄅㄧˇㄍㄤˇ	莫爾茲比港
ㄇㄛㄌㄟㄉㄚㄌㄧㄥㄌㄧㄡㄩ	墨累達令流域
ㄇㄛㄎㄨㄞㄏㄨㄚㄌㄧㄌㄨㄣ	模塊化理論
ㄇㄞˇㄉㄨˊㄏㄨㄢˊㄓㄨˉ	買櫝還珠
ㄇㄞˋㄍㄜˇㄊㄧˊㄒㄧㄢˋ	麥蓋提縣
ㄇㄞˋㄍㄨㄢˉㄩˋㄐㄩㄝˊ	賣官鬻爵
ㄇㄞˋㄏㄜˋㄉㄧˊㄐㄩㄣˉ	邁赫迪軍
ㄇㄞˋㄧㄚˊㄊㄤˊㄔㄨㄣˊ	麥芽糖醇
ㄇㄞˋㄧㄚˊㄏㄨˊㄐㄧㄥˉ	麥芽糊精
ㄇㄟˇㄈㄣˉㄇㄟˇㄇㄧㄠˇ	每分每秒
ㄇㄟˇㄉㄨㄥˉㄕˊㄐㄧㄢˉ	美東時間
ㄇㄟˇㄊㄚˉㄕㄚˉㄊㄨㄥˊ	美他沙酮
ㄇㄟˇㄊㄧˇㄒㄧㄠˇㄆㄨˋ	美體小舖
ㄇㄟˇㄌㄨㄛˋㄒㄧˉㄎㄤˉ	美洛昔康
ㄇㄟˇㄎㄨㄤˋㄩˋㄒㄧㄚˋ	每況愈下
ㄇㄟˇㄑㄧˊㄇㄧㄥˊㄩㄝˉ	美其名曰
ㄇㄟˇㄒㄧㄚˋㄩˋㄎㄨㄤˋ	每下愈況
ㄇㄟˇㄓㄡˉㄐㄧㄣˉㄏㄥˊ	美洲金鴴
ㄇㄟˇㄓㄨㄥˉㄅㄨˋㄗㄨˊ	美中不足
ㄇㄟˇㄕㄨˋㄅㄧㄢˉㄐㄧˊ	美術編輯
ㄇㄟˇㄖˋㄒㄧㄢˋㄐㄧㄚˋ	每日限價
ㄇㄟˇㄖㄨㄥˊㄕㄡˇㄕㄨˋ	美容手術
ㄇㄟˇㄧㄢˊㄒㄧㄤˋㄐㄧˉ	美顏相機
ㄇㄟˊㄉㄚˋㄇㄟˊㄒㄧㄠˇ	沒大沒小
ㄇㄟˊㄉㄜˊㄊㄧㄠˉㄊㄧ˙	沒得挑剔
ㄇㄟˊㄊㄡˊㄇㄟˊㄌㄧㄢˇ	沒頭沒臉
ㄇㄟˊㄌㄧˇㄒㄩㄝˇㄕㄢˉ	梅里雪山
ㄇㄟˊㄌㄧㄢˇㄇㄟˊㄆㄧˊ	沒臉沒皮
ㄇㄟˊㄍㄨㄟˉㄓㄢˋㄓㄥˉ	玫瑰戰爭
ㄇㄟˊㄎㄞˉㄧㄢˇㄒㄧㄠˋ	眉開眼笑
ㄇㄟˊㄐㄧㄥˉㄉㄚˇㄘㄞˇ	沒精打彩 沒精打采
ㄇㄟˊㄐㄩㄣˉㄉㄨˊㄙㄨˋ	霉菌毒素
ㄇㄟˊㄑㄧㄣˉㄇㄟˊㄍㄨˋ	沒親沒故
ㄇㄟˊㄒㄧㄡˉㄇㄟˊㄙㄠˋ	沒羞沒臊
ㄇㄟˊㄒㄧㄣˉㄇㄟˊㄈㄟˋ	沒心沒肺
ㄇㄟˊㄓㄤˇㄧㄢˇㄐㄧㄥ˙	沒長眼睛
ㄇㄟˊㄕㄤˋㄇㄟˊㄒㄧㄚˋ	沒上沒下
ㄇㄟˊㄧㄡˇㄍㄨㄢˉㄒㄧ˙	沒有關係
ㄇㄟˊㄨㄢˊㄇㄟˊㄌㄧㄠˇ	沒完沒了
ㄇㄟㄇㄠㄏㄨㄗㄧㄅㄚㄓㄨㄚ	眉毛鬍子一把抓
ㄇㄟㄋㄧㄦㄕㄗㄨㄥㄏㄜㄓㄥ	美尼爾氏綜合症
ㄇㄟㄍㄨㄛㄉㄨㄌㄧㄓㄢㄓㄥ	美國獨立戰爭
ㄇㄟㄓㄡㄍㄨㄛㄐㄧㄚㄗㄨㄓ	美洲國家組織
ㄇㄟㄙㄨㄛㄅㄨㄉㄚㄇㄧㄧㄚ	美索不達米亞
ㄇㄠˊㄅㄢˉㄏㄨㄤˊㄧㄥˉ	矛斑蝗鶯
ㄇㄠˊㄊㄨㄟˇㄕㄚˉㄐㄧˉ	毛腿沙雞
ㄇㄠˊㄊㄨㄟˇㄧㄝˋㄧㄥˉ	毛腿夜鷹
ㄇㄠˊㄍㄨˇㄙㄨㄥˇㄖㄢˊ	毛骨悚然
ㄇㄠˊㄐㄧㄠˇㄩˊㄒㄧㄠˉ	毛腳漁鴞
ㄇㄠˊㄕㄡˇㄇㄠˊㄐㄧㄠˇ	毛手毛腳
ㄇㄠˊㄖㄨㄥˊㄨㄢˊㄐㄩˋ	毛絨玩具
ㄇㄠˊㄙㄜˋㄉㄨㄣˋㄎㄞˉ	茅塞頓開
ㄇㄠˊㄙㄨㄟˋㄗˋㄐㄧㄢˋ	毛遂自薦
ㄇㄠˋㄇㄟˇㄖㄨˊㄏㄨㄚˉ	貌美如花
ㄇㄠˋㄉㄧㄝˊㄓˉㄋㄧㄢˊ	耄耋之年
ㄇㄠˋㄋㄚˋㄌㄨㄛˊㄧㄚˋ	冒納羅亞
ㄇㄠˋㄏㄜˊㄒㄧㄣˉㄌㄧˊ	貌合心離
ㄇㄠˋㄧˋㄒㄧㄝˊㄉㄧㄥˋ	貿易協定
ㄇㄠˋㄧˋㄓㄨㄥˉㄒㄧㄣˉ	貿易中心
ㄇㄠㄉㄨㄣㄨㄣㄒㄩㄝㄐㄧㄤ	茅盾文學獎
ㄇㄡˊㄔㄣˊㄇㄥˇㄐㄧㄤˋ	謀臣猛將
